_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,BOTANICAL_NAME,COMMON_NAME,DBH_TRUNK,geometry
219216,219243,EY25227,46,RUMSEY RD,HANNA RD,MILLWOOD RD,,0,10,,15,Gleditsia triacanthos 'Sunburst',Honey locust Sunburst,42,"{""type"": ""Point"", ""coordinates"": [-79.367354679356, 43.7031047229585]}"
219364,219391,EY13716,10,CRESCENT TOWN RD,MASSEY SQ,THE MARKET PL,,0,40,,19,Acer platanoides,"Maple, Norway",35,"{""type"": ""Point"", ""coordinates"": [-79.2936722420037, 43.6956661326821]}"
219601,219628,EY11753,32,HALSEY AVE,,GEORGE WEBSTER RD,,0,20,,19,Thuja occidentalis,"Cedar, white",20,"{""type"": ""Point"", ""coordinates"": [-79.3013282786606, 43.6988597054888]}"
219653,219680,EY16033,228,WESTWOOD AVE,LN E PAPE N MORTIMER,WOODYCREST AVE,,0,10,,14,Acer platanoides,"Maple, Norway",48,"{""type"": ""Point"", ""coordinates"": [-79.3463314796575, 43.6870880715046]}"
219752,219779,EY5904,57,PARKLEA DR,RUMSEY RD,SUTHERLAND DR,,0,10,,15,Acer platanoides,"Maple, Norway",65,"{""type"": ""Point"", ""coordinates"": [-79.3681413852349, 43.7118210497958]}"
219866,219893,EY25122,71,AIRDRIE RD,BESSBOROUGH DR,ROLPH RD,,0,10,,15,Picea pungens,"Spruce, Colorado blue",61,"{""type"": ""Point"", ""coordinates"": [-79.3683527376842, 43.70075431973]}"
219952,219979,EY17520,1206,BROADVIEW AVE,GAMBLE AVE,TORRENS AVE,,0,80,,14,Thuja occidentalis,"Cedar, white",12,"{""type"": ""Point"", ""coordinates"": [-79.3552434693193, 43.6894453174963]}"
219986,220013,EY22547,241,LUMSDEN AVE,CEDARVALE AVE,KING EDWARD AVE,,0,20,,19,Morus,Mulberry,8,"{""type"": ""Point"", ""coordinates"": [-79.3131605209642, 43.6930627205279]}"
219989,220016,EY9162,467,PLAINS RD,BINSWOOD AVE,ROBLIN AVE,,0,10,,19,Acer platanoides,"Maple, Norway",62,"{""type"": ""Point"", ""coordinates"": [-79.3240261190732, 43.6968765098426]}"
220164,220191,EY15376,27,KINGS PARK BLVD,PAPE AVE,WOODYCREST AVE,,0,10,,14,Gleditsia triacanthos,Honey locust,57,"{""type"": ""Point"", ""coordinates"": [-79.3454974976483, 43.6853983208666]}"
220213,220240,EY10875,187,REXLEIGH DR,FERRIS RD,GLENWOOD CRES,,0,20,,19,Malus,Apple,25,"{""type"": ""Point"", ""coordinates"": [-79.3046372535001, 43.7032753692576]}"
220243,220270,EY23952,317,CHISHOLM AVE,CAMBRAI AVE,HAMSTEAD AVE,,0,10,,19,Acer platanoides,"Maple, Norway",34,"{""type"": ""Point"", ""coordinates"": [-79.3065560550482, 43.6966524479897]}"
220282,220309,EY14640,266,DONLANDS AVE,MEMORIAL PARK AVE,COSBURN AVE,,0,950,,14,Acer platanoides,"Maple, Norway",22,"{""type"": ""Point"", ""coordinates"": [-79.3419050751048, 43.6896477027053]}"
220378,220405,EY18897,1050,LOGAN AVE,FULTON AVE,NEALON AVE,,0,40,,14,Gleditsia triacanthos,Honey locust,58,"{""type"": ""Point"", ""coordinates"": [-79.3520093098977, 43.6838387743993]}"
220428,220455,EY10477,30,GLENSHAW CRES,ASHALL BLVD,EDEN PARK RD,,0,10,,19,Acer platanoides 'Schwedleri',"Maple, Norway Schwedler",40,"{""type"": ""Point"", ""coordinates"": [-79.3197859207915, 43.7086345717674]}"
